,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.71,0.3,0.42
3,Decision Tree,0.54,0.32,0.41
5,Random Forest,0.79,0.55,0.65
7,Neural Network,0.34,0.57,0.43
