,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.64,0.35,0.45
3,Decision Tree,0.24,0.45,0.32
5,Random Forest,0.62,0.6,0.61
7,Neural Network,0.45,0.65,0.53
