,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.68,0.48,0.56
3,Decision Tree,0.45,0.52,0.48
5,Random Forest,0.7,0.65,0.68
7,Neural Network,0.3,0.52,0.39
