,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.39,0.55,0.45
3,Decision Tree,0.3,0.4,0.34
5,Random Forest,0.76,0.55,0.64
7,Neural Network,0.21,0.42,0.28
