,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.48,0.52,0.5
3,Decision Tree,0.58,0.28,0.37
5,Random Forest,0.74,0.5,0.6
7,Neural Network,0.26,0.48,0.34
