,Pearson
precipitation,0.15
Dinophysis tripos,0.07
Dinophysis sacculus,-0.05
air temp,0.05
Dinophysis caudata,-0.05
sun [h],-0.05
salinity,0.04
Soca,0.04
DSP,-0.03
month,-0.02
wind strength,-0.02
Phalacroma rotundatum,-0.01
Dinophysis fortii,0.01
T,0.0
