,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.43,0.48,0.45
3,Decision Tree,0.37,0.65,0.47
5,Random Forest,0.73,0.55,0.63
7,Neural Network,0.37,0.48,0.42
