,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.54,0.35,0.42
3,Decision Tree,0.32,0.52,0.4
5,Random Forest,0.7,0.65,0.68
7,Neural Network,0.48,0.32,0.39
