,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.58,0.28,0.37
3,Decision Tree,0.41,0.3,0.35
5,Random Forest,0.51,0.5,0.51
7,Neural Network,0.31,0.28,0.29
