,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.49,0.48,0.48
3,Decision Tree,0.59,0.32,0.42
5,Random Forest,0.74,0.62,0.68
7,Neural Network,0.32,0.52,0.4
