,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.37,0.62,0.46
3,Decision Tree,0.34,0.65,0.45
5,Random Forest,0.71,0.72,0.72
7,Neural Network,0.5,0.45,0.47
