,Pearson
DIN,-0.12
salinity,0.09
wind strength,0.07
Dinophysis caudata,-0.06
T,0.05
Dinophysis tripos,-0.04
Phalacroma rotundatum,0.04
DSP,-0.04
air temp,0.03
Dinophysis sacculus,-0.03
month,0.03
Soca,-0.03
Chl-a,0.02
sun [h],0.02
PO4-P,0.02
Dinophysis fortii,-0.01
precipitation,0.0
