,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.47,0.54,0.5
3,Decision Tree,0.32,0.54,0.4
5,Random Forest,0.67,0.38,0.49
7,Neural Network,0.33,0.54,0.41
