,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.63,0.48,0.54
3,Decision Tree,0.4,0.35,0.37
5,Random Forest,0.8,0.5,0.62
7,Neural Network,0.57,0.5,0.53
