,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.61,0.55,0.58
3,Decision Tree,0.4,0.5,0.44
5,Random Forest,0.66,0.57,0.61
7,Neural Network,0.4,0.6,0.48
