,Pearson
Phalacroma rotundatum,0.17
DSP,0.16
Dinophysis fortii,0.14
Dinophysis caudata,0.12
T,0.11
air temp,0.1
salinity,-0.1
month,0.09
sun [h],0.08
Dinophysis tripos,-0.07
Chl-a,0.04
Dinophysis sacculus,0.03
PO4-P,-0.02
DIN,-0.01
wind strength,-0.01
Soca,0.0
precipitation,0.0
