,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.49,0.45,0.47
3,Decision Tree,0.38,0.45,0.41
5,Random Forest,0.74,0.57,0.65
7,Neural Network,0.31,0.52,0.39
