,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.79,0.48,0.59
3,Decision Tree,0.47,0.42,0.45
5,Random Forest,0.59,0.68,0.63
7,Neural Network,0.46,0.55,0.5
