,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.64,0.45,0.53
3,Decision Tree,0.54,0.35,0.42
5,Random Forest,0.79,0.57,0.67
7,Neural Network,0.44,0.42,0.43
