,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.56,0.35,0.43
3,Decision Tree,0.46,0.32,0.38
5,Random Forest,0.83,0.48,0.6
7,Neural Network,0.46,0.28,0.34
