,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.65,0.42,0.52
3,Decision Tree,0.42,0.57,0.48
5,Random Forest,0.83,0.48,0.6
7,Neural Network,0.43,0.52,0.47
