,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.59,0.42,0.49
3,Decision Tree,0.44,0.5,0.47
5,Random Forest,0.81,0.62,0.7
7,Neural Network,0.27,0.75,0.4
