,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.68,0.42,0.52
3,Decision Tree,0.32,0.48,0.38
5,Random Forest,0.85,0.57,0.69
7,Neural Network,0.47,0.52,0.49
