,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.74,0.35,0.47
3,Decision Tree,0.38,0.6,0.47
5,Random Forest,0.86,0.62,0.72
7,Neural Network,0.34,0.35,0.35
