,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.47,0.4,0.43
3,Decision Tree,0.52,0.4,0.45
5,Random Forest,0.77,0.68,0.72
7,Neural Network,0.5,0.68,0.57
