,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.61,0.28,0.38
3,Decision Tree,0.46,0.32,0.38
5,Random Forest,0.81,0.52,0.64
7,Neural Network,0.37,0.35,0.36
