,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.58,0.45,0.51
3,Decision Tree,0.43,0.57,0.49
5,Random Forest,0.85,0.55,0.67
7,Neural Network,0.53,0.5,0.51
