,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.65,0.38,0.48
3,Decision Tree,0.42,0.62,0.5
5,Random Forest,0.89,0.5,0.64
7,Neural Network,0.43,0.44,0.43
