,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.66,0.48,0.55
3,Decision Tree,0.38,0.38,0.38
5,Random Forest,0.8,0.5,0.62
7,Neural Network,0.55,0.45,0.49
