,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.59,0.5,0.54
3,Decision Tree,0.47,0.52,0.49
5,Random Forest,0.86,0.62,0.72
7,Neural Network,0.49,0.48,0.48
