,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.52,0.35,0.42
3,Decision Tree,0.25,0.32,0.29
5,Random Forest,0.76,0.62,0.68
7,Neural Network,0.4,0.42,0.41
