,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.49,0.5,0.49
3,Decision Tree,0.32,0.45,0.38
5,Random Forest,0.73,0.55,0.63
7,Neural Network,0.39,0.55,0.45
