,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.51,0.48,0.49
3,Decision Tree,0.39,0.57,0.46
5,Random Forest,0.62,0.57,0.6
7,Neural Network,0.36,0.4,0.38
