,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.67,0.45,0.54
3,Decision Tree,0.46,0.42,0.44
5,Random Forest,0.86,0.6,0.71
7,Neural Network,0.26,0.65,0.37
