,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.5,0.48,0.49
3,Decision Tree,0.32,0.28,0.3
5,Random Forest,0.78,0.62,0.69
7,Neural Network,0.33,0.38,0.35
