,Pearson
Dinophysis tripos,0.08
precipitation,-0.05
air temp,-0.04
Dinophysis sacculus,0.04
wind strength,-0.04
Soca,0.03
sun [h],-0.02
T,-0.02
Dinophysis fortii,-0.01
salinity,-0.01
DSP,0.01
Dinophysis caudata,0.01
Phalacroma rotundatum,-0.01
month,-0.0
