,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.88,0.35,0.5
3,Decision Tree,0.38,0.72,0.5
5,Random Forest,0.65,0.65,0.65
7,Neural Network,0.56,0.5,0.53
