,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.48,0.5,0.49
3,Decision Tree,0.35,0.48,0.4
5,Random Forest,0.66,0.62,0.64
7,Neural Network,0.43,0.6,0.5
