,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.49,0.52,0.51
3,Decision Tree,0.44,0.62,0.52
5,Random Forest,0.79,0.55,0.65
7,Neural Network,0.47,0.55,0.51
