,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.42,0.55,0.47
3,Decision Tree,0.39,0.35,0.37
5,Random Forest,0.71,0.6,0.65
7,Neural Network,0.28,0.48,0.36
