,Pearson
salinity,-0.08
Dinophysis sacculus,-0.05
month,0.04
T,0.03
Phalacroma rotundatum,-0.03
Dinophysis tripos,-0.03
DSP,-0.02
air temp,0.02
precipitation,0.02
wind strength,-0.01
Dinophysis fortii,-0.01
Dinophysis caudata,0.01
sun [h],0.01
Soca,-0.0
