,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.74,0.35,0.47
3,Decision Tree,0.41,0.35,0.38
5,Random Forest,0.59,0.55,0.57
7,Neural Network,0.38,0.32,0.35
