,Pearson
T,-0.14
wind strength,-0.14
Dinophysis fortii,0.13
month,-0.12
salinity,0.08
Soca,0.07
Dinophysis caudata,-0.06
Dinophysis sacculus,0.05
air temp,-0.05
Dinophysis tripos,-0.05
DSP,0.04
Phalacroma rotundatum,0.02
precipitation,-0.01
sun [h],-0.01
