,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.29,0.32,0.31
3,Decision Tree,0.36,0.25,0.29
5,Random Forest,0.65,0.38,0.48
7,Neural Network,0.29,0.45,0.35
