,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.69,0.45,0.55
3,Decision Tree,0.43,0.38,0.4
5,Random Forest,0.76,0.62,0.68
7,Neural Network,0.7,0.35,0.47
