,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.54,0.65,0.59
3,Decision Tree,0.71,0.3,0.42
5,Random Forest,0.75,0.52,0.62
7,Neural Network,0.44,0.45,0.44
