,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.67,0.65,0.66
3,Decision Tree,0.42,0.6,0.49
5,Random Forest,0.83,0.62,0.71
7,Neural Network,0.58,0.48,0.52
