,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.56,0.45,0.5
3,Decision Tree,0.49,0.45,0.47
5,Random Forest,0.58,0.52,0.55
7,Neural Network,0.53,0.4,0.46
