station id, station name, valid,trajanje sonca [h]
_1896,PORTOROŽ - LETALIŠČE,1993/01,92.4
_1896,PORTOROŽ - LETALIŠČE,1993/02,193.8
_1896,PORTOROŽ - LETALIŠČE,1993/03,190.2
_1896,PORTOROŽ - LETALIŠČE,1993/04,189.8
_1896,PORTOROŽ - LETALIŠČE,1993/05,275.8
_1896,PORTOROŽ - LETALIŠČE,1993/06,267.3
_1896,PORTOROŽ - LETALIŠČE,1993/07,301.9
_1896,PORTOROŽ - LETALIŠČE,1993/08,319.3
_1896,PORTOROŽ - LETALIŠČE,1993/09,181.9
_1896,PORTOROŽ - LETALIŠČE,1993/10,151.5
_1896,PORTOROŽ - LETALIŠČE,1993/11,82.8
_1896,PORTOROŽ - LETALIŠČE,1993/12,85.7
_1896,PORTOROŽ - LETALIŠČE,1994/01,116.3
_1896,PORTOROŽ - LETALIŠČE,1994/02,117.8
_1896,PORTOROŽ - LETALIŠČE,1994/03,194.3
_1896,PORTOROŽ - LETALIŠČE,1994/04,179.7
_1896,PORTOROŽ - LETALIŠČE,1994/05,241.8
_1896,PORTOROŽ - LETALIŠČE,1994/06,255.5
_1896,PORTOROŽ - LETALIŠČE,1994/07,347.1
_1896,PORTOROŽ - LETALIŠČE,1994/08,331.5
_1896,PORTOROŽ - LETALIŠČE,1994/09,208.9
_1896,PORTOROŽ - LETALIŠČE,1994/10,212.4
_1896,PORTOROŽ - LETALIŠČE,1994/11,79.8
_1896,PORTOROŽ - LETALIŠČE,1994/12,80.8
_1896,PORTOROŽ - LETALIŠČE,1995/01,130.9
_1896,PORTOROŽ - LETALIŠČE,1995/02,111.4
_1896,PORTOROŽ - LETALIŠČE,1995/03,174.3
_1896,PORTOROŽ - LETALIŠČE,1995/04,195.5
_1896,PORTOROŽ - LETALIŠČE,1995/05,234
_1896,PORTOROŽ - LETALIŠČE,1995/06,248.1
_1896,PORTOROŽ - LETALIŠČE,1995/07,341.7
_1896,PORTOROŽ - LETALIŠČE,1995/08,273.4
_1896,PORTOROŽ - LETALIŠČE,1995/09,212.4
_1896,PORTOROŽ - LETALIŠČE,1995/10,226.5
_1896,PORTOROŽ - LETALIŠČE,1995/11,107.6
_1896,PORTOROŽ - LETALIŠČE,1995/12,65.2
_1896,PORTOROŽ - LETALIŠČE,1996/01,88.4
_1896,PORTOROŽ - LETALIŠČE,1996/02,145.7
_1896,PORTOROŽ - LETALIŠČE,1996/03,180
_1896,PORTOROŽ - LETALIŠČE,1996/04,194.8
_1896,PORTOROŽ - LETALIŠČE,1996/05,270.7
_1896,PORTOROŽ - LETALIŠČE,1996/06,305.3
_1896,PORTOROŽ - LETALIŠČE,1996/07,310.7
_1896,PORTOROŽ - LETALIŠČE,1996/08,308.9
_1896,PORTOROŽ - LETALIŠČE,1996/09,167.6
_1896,PORTOROŽ - LETALIŠČE,1996/10,156.3
_1896,PORTOROŽ - LETALIŠČE,1996/11,87
_1896,PORTOROŽ - LETALIŠČE,1996/12,84.4
_1896,PORTOROŽ - LETALIŠČE,1997/01,110.5
