station id, station name, valid,trajanje sonca [h]
_1896,PORTOROŽ - LETALIŠČE,2021/08,314.5
_1896,PORTOROŽ - LETALIŠČE,2021/09,251
_1896,PORTOROŽ - LETALIŠČE,2021/10,195.2
_1896,PORTOROŽ - LETALIŠČE,2021/11,106
_1896,PORTOROŽ - LETALIŠČE,2021/12,86.9
_1896,PORTOROŽ - LETALIŠČE,2022/01,151.5
_1896,PORTOROŽ - LETALIŠČE,2022/02,142.5
_1896,PORTOROŽ - LETALIŠČE,2022/03,245.2
_1896,PORTOROŽ - LETALIŠČE,2022/04,250.1
_1896,PORTOROŽ - LETALIŠČE,2022/05,285.7
_1896,PORTOROŽ - LETALIŠČE,2022/06,342.7
