station id, station name, valid,trajanje sonca [h]
_1896,PORTOROŽ - LETALIŠČE,2003/01,127.3
_1896,PORTOROŽ - LETALIŠČE,2003/02,231.8
_1896,PORTOROŽ - LETALIŠČE,2003/03,227.4
_1896,PORTOROŽ - LETALIŠČE,2003/04,219.3
_1896,PORTOROŽ - LETALIŠČE,2003/05,299.8
_1896,PORTOROŽ - LETALIŠČE,2003/06,310.1
_1896,PORTOROŽ - LETALIŠČE,2003/07,350.5
_1896,PORTOROŽ - LETALIŠČE,2003/08,332.1
_1896,PORTOROŽ - LETALIŠČE,2003/09,233.9
_1896,PORTOROŽ - LETALIŠČE,2003/10,146
_1896,PORTOROŽ - LETALIŠČE,2003/11,98.9
_1896,PORTOROŽ - LETALIŠČE,2003/12,101.1
_1896,PORTOROŽ - LETALIŠČE,2004/01,100.1
_1896,PORTOROŽ - LETALIŠČE,2004/02,65.6
_1896,PORTOROŽ - LETALIŠČE,2004/03,170.2
_1896,PORTOROŽ - LETALIŠČE,2004/04,171.4
_1896,PORTOROŽ - LETALIŠČE,2004/05,272.2
_1896,PORTOROŽ - LETALIŠČE,2004/06,296.5
_1896,PORTOROŽ - LETALIŠČE,2004/07,364.1
_1896,PORTOROŽ - LETALIŠČE,2004/08,334.7
_1896,PORTOROŽ - LETALIŠČE,2004/09,231.3
_1896,PORTOROŽ - LETALIŠČE,2004/10,108.7
_1896,PORTOROŽ - LETALIŠČE,2004/11,111.1
_1896,PORTOROŽ - LETALIŠČE,2004/12,119.4
_1896,PORTOROŽ - LETALIŠČE,2005/01,110.2
_1896,PORTOROŽ - LETALIŠČE,2005/02,147.5
_1896,PORTOROŽ - LETALIŠČE,2005/03,182.5
_1896,PORTOROŽ - LETALIŠČE,2005/04,219.4
_1896,PORTOROŽ - LETALIŠČE,2005/05,290.8
_1896,PORTOROŽ - LETALIŠČE,2005/06,320.4
_1896,PORTOROŽ - LETALIŠČE,2005/07,325.7
_1896,PORTOROŽ - LETALIŠČE,2005/08,238.3
_1896,PORTOROŽ - LETALIŠČE,2005/09,230.4
_1896,PORTOROŽ - LETALIŠČE,2005/10,114.4
_1896,PORTOROŽ - LETALIŠČE,2005/11,95.1
_1896,PORTOROŽ - LETALIŠČE,2005/12,86.7
_1896,PORTOROŽ - LETALIŠČE,2006/01,135.3
_1896,PORTOROŽ - LETALIŠČE,2006/02,130
_1896,PORTOROŽ - LETALIŠČE,2006/03,147.5
_1896,PORTOROŽ - LETALIŠČE,2006/04,178.7
_1896,PORTOROŽ - LETALIŠČE,2006/05,248.1
_1896,PORTOROŽ - LETALIŠČE,2006/06,291.8
_1896,PORTOROŽ - LETALIŠČE,2006/07,352.8
_1896,PORTOROŽ - LETALIŠČE,2006/08,222.8
_1896,PORTOROŽ - LETALIŠČE,2006/09,252.7
_1896,PORTOROŽ - LETALIŠČE,2006/10,177
_1896,PORTOROŽ - LETALIŠČE,2006/11,79
_1896,PORTOROŽ - LETALIŠČE,2006/12,103.5
_1896,PORTOROŽ - LETALIŠČE,2007/01,51.2
_1896,PORTOROŽ - LETALIŠČE,2007/02,105.6
_1896,PORTOROŽ - LETALIŠČE,2007/03,172.8
_1896,PORTOROŽ - LETALIŠČE,2007/04,312.8
_1896,PORTOROŽ - LETALIŠČE,2007/05,295.2
_1896,PORTOROŽ - LETALIŠČE,2007/06,263.2
_1896,PORTOROŽ - LETALIŠČE,2007/07,379.6
_1896,PORTOROŽ - LETALIŠČE,2007/08,278.6
_1896,PORTOROŽ - LETALIŠČE,2007/09,240.5
_1896,PORTOROŽ - LETALIŠČE,2007/10,181
_1896,PORTOROŽ - LETALIŠČE,2007/11,114.8
_1896,PORTOROŽ - LETALIŠČE,2007/12,130.6
_1896,PORTOROŽ - LETALIŠČE,2008/01,73.9
_1896,PORTOROŽ - LETALIŠČE,2008/02,146.1
_1896,PORTOROŽ - LETALIŠČE,2008/03,138.4
_1896,PORTOROŽ - LETALIŠČE,2008/04,178.5
_1896,PORTOROŽ - LETALIŠČE,2008/05,258.3
_1896,PORTOROŽ - LETALIŠČE,2008/06,244.3
_1896,PORTOROŽ - LETALIŠČE,2008/07,323.9
_1896,PORTOROŽ - LETALIŠČE,2008/08,335.1
_1896,PORTOROŽ - LETALIŠČE,2008/09,199.3
_1896,PORTOROŽ - LETALIŠČE,2008/10,154.6
_1896,PORTOROŽ - LETALIŠČE,2008/11,99.6
_1896,PORTOROŽ - LETALIŠČE,2008/12,102
_1896,PORTOROŽ - LETALIŠČE,2009/01,115.5
_1896,PORTOROŽ - LETALIŠČE,2009/02,135.4
_1896,PORTOROŽ - LETALIŠČE,2009/03,172.2
_1896,PORTOROŽ - LETALIŠČE,2009/04,201.6
_1896,PORTOROŽ - LETALIŠČE,2009/05,294
_1896,PORTOROŽ - LETALIŠČE,2009/06,244.3
_1896,PORTOROŽ - LETALIŠČE,2009/07,347.7
_1896,PORTOROŽ - LETALIŠČE,2009/08,349.8
_1896,PORTOROŽ - LETALIŠČE,2009/09,242.5
_1896,PORTOROŽ - LETALIŠČE,2009/10,194.2
_1896,PORTOROŽ - LETALIŠČE,2009/11,41.3
_1896,PORTOROŽ - LETALIŠČE,2009/12,72.8
_1896,PORTOROŽ - LETALIŠČE,2010/01,91.3
_1896,PORTOROŽ - LETALIŠČE,2010/02,96.7
_1896,PORTOROŽ - LETALIŠČE,2010/03,160.1
_1896,PORTOROŽ - LETALIŠČE,2010/04,237.6
