,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.56,0.5,0.53
3,Decision Tree,0.72,0.32,0.45
5,Random Forest,0.72,0.57,0.64
7,Neural Network,0.64,0.35,0.45
