,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.47,0.42,0.45
3,Decision Tree,0.21,0.68,0.32
5,Random Forest,0.76,0.48,0.58
7,Neural Network,0.31,0.52,0.39
