,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.45,0.52,0.48
3,Decision Tree,0.65,0.32,0.43
5,Random Forest,0.92,0.6,0.73
7,Neural Network,0.3,0.7,0.42
