,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.49,0.45,0.47
3,Decision Tree,0.4,0.5,0.44
5,Random Forest,0.76,0.55,0.64
7,Neural Network,0.43,0.4,0.42
