,Pearson
Dinophysis tripos,-0.08
Dinophysis caudata,0.08
air temp,0.08
Dinophysis sacculus,0.08
salinity,-0.07
sun [h],0.07
DSP,0.07
precipitation,-0.06
T,0.06
Phalacroma rotundatum,0.06
wind strength,-0.05
month,-0.03
Soca,-0.02
Dinophysis fortii,-0.0
