,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.46,0.48,0.47
3,Decision Tree,0.65,0.5,0.56
5,Random Forest,0.79,0.75,0.77
7,Neural Network,0.4,0.7,0.51
