,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.61,0.42,0.5
3,Decision Tree,0.39,0.68,0.49
5,Random Forest,0.7,0.65,0.68
7,Neural Network,0.53,0.4,0.46
