,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.67,0.5,0.57
3,Decision Tree,0.41,0.45,0.43
5,Random Forest,0.64,0.68,0.66
7,Neural Network,0.36,0.4,0.38
