,Classifier,Precision,Recall,F1-score
1,Support Vector Mashines,0.7,0.35,0.47
3,Decision Tree,0.58,0.28,0.37
5,Random Forest,0.84,0.68,0.75
7,Neural Network,0.3,0.52,0.38
