,Pearson
Phalacroma rotundatum,-0.05
T,-0.05
Dinophysis tripos,0.04
Soca,0.04
month,-0.04
air temp,-0.03
Dinophysis sacculus,-0.03
sun [h],-0.03
DSP,-0.02
salinity,-0.02
Dinophysis fortii,-0.02
precipitation,0.01
wind strength,0.01
Dinophysis caudata,0.01
