,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.6,0.45,0.51
3,Decision Tree,0.45,0.35,0.39
5,Random Forest,0.75,0.6,0.67
7,Neural Network,0.43,0.3,0.35
