,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.55,0.57,0.56
3,Decision Tree,0.38,0.68,0.48
5,Random Forest,0.76,0.65,0.7
7,Neural Network,0.34,0.78,0.47
