,Classifier,Precision,Recall,F1-score
1,Support Vector Machines,0.48,0.5,0.49
3,Decision Tree,0.37,0.57,0.45
5,Random Forest,0.68,0.7,0.69
7,Neural Network,0.33,0.57,0.42
